板块,公司全称,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
创业板,宁波鲍斯能源装备股份有限公司,300441,鲍斯股份,4/23/2015,"657,189,708","625,728,371",,,,0,0,华东,浙江,宁波市,C 制造业,www.cnbaosi.com
创业板,上海普丽盛包装股份有限公司,300442,普丽盛,4/24/2015,"100,000,000","99,195,625",,,,0,0,华东,上海,上海市,C 制造业,www.cn-pls.com
创业板,金雷科技股份公司,300443,金雷股份,4/22/2015,"261,753,484","159,451,183",,,,0,0,华东,山东,济南市,C 制造业,www.jinleiwind.com
创业板,北京双杰电气股份有限公司,300444,双杰电气,4/23/2015,"585,720,642","351,056,796",,,,0,0,华北,北京,北京市,C 制造业,www.sojoline.com
创业板,北京康斯特仪表科技股份有限公司,300445,康斯特,4/24/2015,"216,380,084","116,712,953",,,,0,0,华北,北京,北京市,C 制造业,www.constgroup.com
创业板,保定乐凯新材料股份有限公司,300446,ST乐凯,4/23/2015,"202,620,000","196,197,904",,,,0,0,华北,河北,保定市,C 制造业,maginfo.luckyfilm.com.cn
创业板,南京全信传输科技股份有限公司,300447,全信股份,4/22/2015,"291,069,255","170,286,695",,,,0,0,华东,江苏,南京市,C 制造业,www.qx-kj.com
创业板,浩云科技股份有限公司,300448,浩云科技,4/24/2015,"692,495,699","464,647,141",,,,0,0,华南,广东,广州市,I 信息技术,www.haoyuntech.com
创业板,北京汉邦高科数字技术股份有限公司,300449,汉邦高科,4/22/2015,"298,258,899","244,353,539",,,,0,0,华北,北京,北京市,C 制造业,www.hbgk.net
创业板,无锡先导智能装备股份有限公司,300450,先导智能,5/18/2015,"907,322,521","905,786,627",,,,0,0,华东,江苏,无锡市,C 制造业,www.leadchina.cn
创业板,创业慧康科技股份有限公司,300451,创业慧康,5/14/2015,"1,192,608,104","918,933,591",,,,0,0,华东,浙江,杭州市,I 信息技术,www.bsoft.com.cn
创业板,安徽山河药用辅料股份有限公司,300452,山河药辅,5/15/2015,"180,467,070","140,684,806",,,,0,0,华东,安徽,淮南市,C 制造业,www.shanhe01.com
